Timestamp,Seleziona la lingua in cui preferisci rispondere al questionario. // Please select the language you are most confortable with to answer the survey.,"Tra le seguenti coppie di aggettivi, quali ritieni più opportune per descrivere il suono di un mandolino? (Seleziona al massimo 6 opzioni su 11). Se pensi che ci siano dei termini più adatti puoi scriverli nella casella ""Altro"".","Se potessi scegliere, preferiresti suonare un mandolino con un suono più...","Se potessi scegliere, preferiresti suonare un mandolino con un suono più...","Se potessi scegliere, preferiresti suonare un mandolino con un suono più...","Se potessi scegliere, preferiresti suonare un mandolino con un suono più...","Se potessi scegliere, preferiresti suonare un mandolino con un suono più...","Se potessi scegliere, preferiresti suonare un mandolino con un suono più...","Se potessi scegliere, preferiresti suonare un mandolino con un suono più...","Se potessi scegliere, preferiresti suonare un mandolino con un suono più...","Se potessi scegliere, preferiresti suonare un mandolino con un suono più...","Se potessi scegliere, preferiresti suonare un mandolino con un suono più...","Se potessi scegliere, preferiresti suonare un mandolino con un suono più...",Volume sonoro,Proiezione del suono,Sustain - Durata delle note,Bilanciamento di volume tra le diverse corde (cantini e bassi),Responsitività – Efficienza nel convertire il pizzico in suono (È alta se a parità di forza lo strumento suona di più),Range dinamico – Possibilità di eseguire forti e piani ben distinti,Timbro – Valutazione personale della voce dello strumento,Contrasto tonale – Possibilità di suonare utilizzando diversi timbri o colori,Separazione – Quanto sono distinte e chiare le singole note quando vengono suonate insieme o in successione molto veloce ,Qualità del suono su tutta la tastiera - Differenze nella pulizia del suono tra le stesse note suonate su posizioni diverse,"Se hai qualche commento, osservazione o suggerimento, ti preghiamo di indicarlo di seguito.","Among the following pairs of adjectives, which do you think are most meaningful to describe the sound of a mandolin? (Select a maximum of 6 out of 11 options). If you want, you can suggest suitable adjectives  by writing them and checking the last box.","If you had a choice, you'd rather play a mandolin which sound is more ...","If you had a choice, you'd rather play a mandolin which sound is more ...","If you had a choice, you'd rather play a mandolin which sound is more ...","If you had a choice, you'd rather play a mandolin which sound is more ...","If you had a choice, you'd rather play a mandolin which sound is more ...","If you had a choice, you'd rather play a mandolin which sound is more ...","If you had a choice, you'd rather play a mandolin which sound is more ...","If you had a choice, you'd rather play a mandolin which sound is more ...","If you had a choice, you'd rather play a mandolin which sound is more ...","If you had a choice, you'd rather play a mandolin which sound is more ...","If you had a choice, you'd rather play a mandolin which sound is more ...",Sound volume,Sound projection,Sustain - Sound duration,Volume balance between the different strings (trebles and basses),Responsiveness - Efficiency in converting the pinch into sound (It is high if the instrument plays more with the same strength),Dynamic Range - Ability to play distinct forte and pianos,Timbre - Personal evaluation of the instrument's voice,Tonal contrast - Ability to play using different tones or colors,Separation - How distinct and clear individual notes are when played together or in very fast succession,Sound quality across the entire keyboard - Differences in sound cleanliness between the same notes played at different positions,"If you have any comments, observations or suggestions, please indicate them below."
11/2/2021 19:15:28,Italiano,"SQUILLANTE - OMOGENEO, APERTO - CHIUSO, INTENSO - TENUE, MORBIDO - DURO, CALDO - FREDDO, BRILLANTE - OPACO",CALDO,CHIARO,INTENSO,MORBIDO,APERTO,NASALE,ROTONDO,SQUILLANTE,FORTE,RICCO,BRILLANTE,5,6,5,4,3,4,6,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,
11/2/2021 19:25:28,Italiano,"BRILLANTE - OPACO, FORTE - ESILE, ROTONDO - TAGLIENTE, NASALE - METALLICO, CALDO - FREDDO, CHIARO - SCURO",CALDO,CHIARO,INTENSO,MORBIDO,APERTO,NASALE,ROTONDO,SQUILLANTE,FORTE,RICCO,BRILLANTE,5,6,3,6,4,6,6,4,6,6,,,,,,,,,,,,,,,,,,,,,,,,
11/2/2021 19:29:16,Italiano,"ROTONDO - TAGLIENTE, SQUILLANTE - OMOGENEO, CHIARO - SCURO, MORBIDO - DURO",CALDO,CHIARO,INTENSO,MORBIDO,APERTO,NASALE,ROTONDO,OMOGENEO,FORTE,RICCO,BRILLANTE,4,6,3,6,6,5,4,5,4,6,,,,,,,,,,,,,,,,,,,,,,,,
11/2/2021 19:30:56,Italiano,"RICCO - POVERO, BRILLANTE - OPACO, NASALE - METALLICO, SQUILLANTE - OMOGENEO, ROTONDO - TAGLIENTE, APERTO - CHIUSO",CALDO,SCURO,INTENSO,MORBIDO,APERTO,METALLICO,ROTONDO,OMOGENEO,FORTE,RICCO,BRILLANTE,6,6,6,6,6,6,6,6,6,6,"Oltre il suono , andrebbe sistemato anche la tastiera e la comodità della mano sinistra. ",,,,,,,,,,,,,,,,,,,,,,,
11/2/2021 20:38:54,Italiano,"BRILLANTE - OPACO, MORBIDO - DURO, CHIARO - SCURO, CALDO - FREDDO, ROTONDO - TAGLIENTE",CALDO,CHIARO,INTENSO,MORBIDO,APERTO,NASALE,ROTONDO,OMOGENEO,FORTE,RICCO,BRILLANTE,4,6,3,5,6,6,4,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,
11/2/2021 20:45:12,Italiano,"ROTONDO - TAGLIENTE, SQUILLANTE - OMOGENEO, BRILLANTE - OPACO, CHIARO - SCURO, Equilibrato - Sbilanciato ",CALDO,CHIARO,INTENSO,MORBIDO,APERTO,NASALE,ROTONDO,OMOGENEO,FORTE,RICCO,BRILLANTE,5,5,5,5,3,5,6,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,
11/3/2021 8:54:25,Italiano,BRILLANTE - OPACO,CALDO,CHIARO,INTENSO,MORBIDO,APERTO,NASALE,ROTONDO,OMOGENEO,FORTE,RICCO,BRILLANTE,5,5,5,5,5,6,5,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,
11/3/2021 13:56:48,Italiano,Ricco di armonici-Povero di armonici,CALDO,CHIARO,INTENSO,MORBIDO,APERTO,NASALE,ROTONDO,OMOGENEO,FORTE,RICCO,BRILLANTE,5,5,6,5,5,6,5,6,4,5,,,,,,,,,,,,,,,,,,,,,,,,
11/4/2021 12:46:28,Italiano,"INTENSO - TENUE, SQUILLANTE - OMOGENEO, FORTE - ESILE, CHIARO - SCURO",CALDO,CHIARO,INTENSO,MORBIDO,APERTO,METALLICO,ROTONDO,SQUILLANTE,ESILE,RICCO,BRILLANTE,6,5,5,3,5,4,6,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,
11/4/2021 17:45:10,Italiano,"APERTO - CHIUSO, CHIARO - SCURO, RICCO - POVERO",CALDO,CHIARO,INTENSO,MORBIDO,APERTO,METALLICO,ROTONDO,OMOGENEO,FORTE,RICCO,BRILLANTE,6,6,5,6,6,6,6,6,6,6,"Per quel che riguarda il suono degli strumenti barocchi occorre rifarsi ad un apparato scientifico.Per quel che attiene al mandolino moderno abbiamo fortunatamente delle registrazioni di mandolinisti di inizio ‘900.
Occorre tenere conto dei limiti legati agli antichi supporti sonori ma è possibile evincere da questi documenti quale sia il vero suono “italiano” del mandolino, suono oggi in larga parte dimenticato.
Il migliore aggettivo che ho udito per descrivere il giusto suono è “cavata sanguigna” o “cavata antica”.
Suono piccante, brillante, schietto.
L’utilizzo dei giusti plettri e delle giuste corde è fondamentale, come è fondamentale una tecnica che permetta l’emissione di un suono come quello sopra descritto.",,,,,,,,,,,,,,,,,,,,,,,
